,t,Ba,Zr,S,x,y,nBa,nZr,nS,Baat,Zrat,Sat,BZ,Ba/BZ,Baerr,Zrerr,Serr,BZerr
3,60.4,47.6,24.89,27.51,45,2,0.3466179265548654,0.27284486538630187,0.8579447996257603,23.461225496157425,18.467812602541496,58.070961901301075,1.270384641705144,0.5595459986687707,0.7038367648847227,0.5540343780762449,1.742128857039032,0.01045616930567321
4,90.3,45.39,26.58,28.04,44,2,0.3305249513933895,0.2913706919231781,0.874473725245595,22.08846013140363,19.471842851417865,58.4396970171785,1.134379539725755,0.5314797666545803,0.6626538039421088,0.5841552855425359,1.753190910515355,0.01056455817918454
5,117.3,46.96,24.81,28.23,43,2,0.3419575174583294,0.2719679031833728,0.8803991891470452,22.883750640141834,18.200055155473944,58.91619420438423,1.2573451258612915,0.5570017235984466,0.6865125192042549,0.5460016546642182,1.767485826131527,0.010468749985373525
6,148.8,46.79,24.95,28.25,42,2,0.340719596292062,0.2735025870384986,0.881022922189303,22.78687253576405,18.29148853447728,58.92163892975867,1.2457637054968766,0.5547171781464206,0.6836061760729215,0.5487446560343184,1.7676491678927602,0.010479578346054423
7,176.4,46.1,25.68,28.22,41,2,0.33569509273485915,0.28150486714022627,0.8800873226259162,22.420219329862274,18.800992329943064,58.77878834019465,1.1925019135375696,0.543900055992875,0.6726065798958681,0.5640297698982919,1.7633636502058394,0.010524836913636234
8,204.7,46.16,25.62,28.22,40,2,0.33613200608765936,0.28084714548802947,0.8800873226259162,22.45271081011421,18.759831331992594,58.78745785789321,1.1968503561022887,0.544802859592937,0.6735813243034262,0.5627949399597778,1.763623735736796,0.010521439351330616
9,228.8,45.63,26.58,27.79,39,2,0.33227260480459053,0.2913706919231781,0.866677062217371,22.29538117829751,19.55087643903708,58.15374238266542,1.1403775809139942,0.5327927142775551,0.6688614353489253,0.5865262931711124,1.7446122714799626,0.010560977967398669
10,259.8,45.94,26.17,27.89,38,2,0.3345299904607251,0.28687626063316674,0.8697957274286606,22.43358011046696,19.237921137778862,58.328498751754175,1.166112489483729,0.5383434586823606,0.6730074033140088,0.5771376341333658,1.7498549625526252,0.01054422553094032
11,271.1,45.64,26.44,27.93,37,2,0.3323454236967239,0.28983600806805226,0.8710431935131764,22.256894111618355,19.410074222028147,58.3330316663535,1.1466671305336589,0.5341615913449044,0.6677068233485506,0.5823022266608444,1.749990949990605,0.010557089493296931
12,286.2,45.6,26.64,27.77,36,2,0.3320541481281904,0.2920284135753749,0.8660533291751131,22.283481000675064,19.597435063669025,58.119083935655915,1.1370610964281547,0.5320676598009378,0.6685044300202518,0.5879230519100708,1.7435725180696775,0.010562973166956861
13,287.2,45.85,26.53,27.62,35,2,0.33387462043152477,0.29082259054634746,0.8613753313581788,22.466912678884857,19.56987847236482,57.96320884875033,1.1480353703070267,0.5344583176686396,0.6740073803665456,0.5870963541709446,1.7388962654625097,0.010556225635084352
14,286.1,44.62,27.59,27.79,34,2,0.3249178966991196,0.3024423397351574,0.866677062217371,21.747642913088875,20.243292453816796,58.00906463309433,1.0743135269474624,0.5179128000618164,0.6524292873926663,0.6072987736145039,1.7402719389928298,0.010592988424250827
15,280.2,44.31,27.52,28.17,33,2,0.322660511042985,0.3016749978075945,0.8785279900202715,21.46971506629911,20.07334651711566,58.45693841658524,1.0695633161113831,0.5168062787859251,0.6440914519889732,0.6022003955134697,1.753708152497557,0.01059461833646974
16,283.7,44.07,27.88,28.05,32,2,0.320912857631784,0.3056213277207752,0.8747855917667239,21.375383347546933,20.356844183269086,58.267772469183974,1.0500342368938975,0.512203268607286,0.641261500426408,0.6107053254980725,1.748033174075519,0.01060028358726982
